"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"14",0.7282,0.58683333,0.25013333,0.16643333,0.58683333,0.31106667,"Abarema_langsdorffii","rf",1,2,20,100,0.698446799011364,7.46039328126666e-19,0.954,NA,1.908,1.68113499613505,0,0.79,0.804347826086956,"spec_sens",0.166666666666667,0.620689655172414,0.978021978021978,0.9,0.89,0.11,0.1,0.891666666666667,0.669491525423729,0.73469387755102,0.580645161290323
"15",0.42596426,0.42596426,-0.04548938,0.17466068,0.17466068,0.03702772,"Abarema_langsdorffii","svme",1,2,20,100,0.739690253919324,4.95292568550522e-22,0.913,NA,1.826,1.43547943997209,0,0.8,0.769230769230769,"spec_sens",0.166666666666667,0.772727272727273,0.969387755102041,0.85,0.95,0.05,0.15,0.933333333333333,0.769230769230769,0.80952380952381,0.68
"16",0.44327955,0.143915,-0.02988075,0.1774176,0.143915,0.03654247,"Abarema_langsdorffii","svmk",1,2,20,100,0.722917471507017,1.13837991314676e-20,0.911,NA,1.822,1.33604572003625,0,0.79,0.735294117647059,"spec_sens",0.166666666666667,0.620689655172414,0.978021978021978,0.9,0.89,0.11,0.1,0.891666666666667,0.669491525423729,0.73469387755102,0.580645161290323
"17",0.1499,0.0499,-1e-04,0.1499,0.0749,0.0499,"Abarema_langsdorffii","bioclim",1,3,19,100,0.331005321685196,0.000236048808800683,0.768157894736842,NA,1.53631578947368,1.76735617192311,0,0.402105263157895,0.32885032537961,"spec_sens",0.159663865546218,0.266666666666667,0.949152542372881,0.842105263157895,0.56,0.44,0.157894736842105,0.605042016806723,0.214576604409493,0.40506329113924,0.253968253968254
"18",0.97703255,-0.02949194,-1.66615008,0.05948873,-0.02949194,-1.5787801,"Abarema_langsdorffii","brt",1,3,19,100,0.469975267711707,6.94633663852025e-08,0.842631578947368,NA,1.68526315789474,1.53805002947593,0,0.579473684210526,0.476635514018692,"spec_sens",0.159663865546218,0.416666666666667,0.951807228915663,0.789473684210526,0.79,0.21,0.210526315789474,0.789915966386555,0.425342862661773,0.545454545454546,0.375
"19",0.3562518,0.14460319,0.05614684,0.16156273,0.18529457,0.14573333,"Abarema_langsdorffii","glm",1,3,19,100,0.55836571458696,4.16498395321733e-11,0.886315789473684,NA,1.77263157894737,1.64759359743965,0,0.677368421052631,0.607476635514019,"spec_sens",0.159663865546218,0.4,0.986486486486487,0.947368421052632,0.73,0.27,0.0526315789473684,0.764705882352941,0.435827971554351,0.5625,0.391304347826087
"20",0.79285874,0.37587597,0.12225072,0.15808784,0.38590752,0.23622452,"Abarema_langsdorffii","maxent",1,3,19,100,0.565683067808777,2.03598808809423e-11,0.886315789473684,NA,1.77263157894737,1.80424562768387,0,0.632105263157895,0.522408026755853,"spec_sens",0.159663865546218,0.432432432432432,0.963414634146341,0.842105263157895,0.79,0.21,0.157894736842105,0.798319327731092,0.456827691137315,0.571428571428571,0.4
"21",0.60457424,0.36991004,0.11705717,0.15932565,0.33112116,0.21363823,"Abarema_langsdorffii","maxnet",1,3,19,100,0.557643833410935,4.46549848355933e-11,0.884736842105263,NA,1.76947368421053,1.80136983104968,0,0.619473684210526,0.522408026755853,"spec_sens",0.159663865546218,0.46875,0.954022988505747,0.789473684210526,0.83,0.17,0.210526315789474,0.823529411764706,0.485060787141974,0.588235294117647,0.416666666666667
"22",0.59456667,0.59456667,0.1364,0.1628,0.50323333,0.19593333,"Abarema_langsdorffii","rf",1,3,19,100,0.575815766971761,7.33785727378644e-12,0.888421052631579,NA,1.77684210526316,1.44721119372083,0,0.656842105263158,0.617363344051447,"spec_sens",0.159663865546218,0.636363636363636,0.948453608247423,0.736842105263158,0.92,0.08,0.263157894736842,0.890756302521008,0.617363344051447,0.682926829268293,0.518518518518518
"23",0.48506504,0.14133901,0.00551215,0.16229581,0.18463016,0.02615664,"Abarema_langsdorffii","svme",1,3,19,100,0.700644545024559,7.33764670479681e-19,0.916842105263158,NA,1.83368421052632,1.45145179064703,0,0.714736842105263,0.668728734921126,"spec_sens",0.159663865546218,0.485714285714286,0.976190476190476,0.894736842105263,0.82,0.18,0.105263157894737,0.831932773109244,0.532967032967033,0.62962962962963,0.459459459459459
