"","species_name","algorithm","dismo_threshold","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","correlation","AUC","AUCratio","pROC","TSSmax","KAPPAmax","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"1","Abarema_langsdorffii","bioclim","spec_sens",0.16660886,0.060532914,0.004963292,0.171672152,0.080722784,0.055469622,0.476733084382934,0.833881578947368,1.66776315789474,1.80271250341013,0.562421052631579,0.457593308852756,0.165266106442577,0.37377789309808,0.961162512404985,0.858421052631579,0.704,0.296,0.141578947368421,0.729341736694678,0.372986657995489,0.518228596192502,0.35294733044733
"2","Abarema_langsdorffii","brt","spec_sens",1.232217838,0.408395742,-1.56622826,0.138493856,-0.00086028199999998,-1.262332796,0.550926124164897,0.895676315789474,1.79135263157895,1.58010145741847,0.707894736842105,0.659491189491045,0.165266106442577,0.619716775599129,0.962098497693169,0.827894736842105,0.88,0.12,0.172105263157895,0.871316526610644,0.62125278305867,0.697021729048605,0.551299103195655
"3","Abarema_langsdorffii","glm","spec_sens",0.24490958,0.189496136,0.047440402,0.164088092,0.19552656,0.096321986,0.480687686830826,0.843463157894737,1.68692631578947,1.53593087453231,0.631473684210526,0.511814453254014,0.165266106442577,0.447143602012023,0.962075581966246,0.839473684210526,0.792,0.208,0.160526315789474,0.799607843137255,0.465896525673598,0.580919744520006,0.413632188824628
"4","Abarema_langsdorffii","maxent","spec_sens",0.61901189,0.45232616,0.146995956,0.165249556,0.37842204,0.23422612,0.648032376102254,0.915863157894737,1.83172631578947,1.76339434238877,0.722421052631579,0.676124462494028,0.165266106442577,0.597360192490627,0.966221052351999,0.848421052631579,0.874,0.126,0.151578947368421,0.869663865546218,0.618051880683418,0.694707647622046,0.543240495137047
"5","Abarema_langsdorffii","maxnet","spec_sens",0.498117,0.370724628,0.135179612,0.165950838,0.32301591,0.205564846,0.639441954026347,0.915947368421053,1.83189473684211,1.75960249015573,0.719894736842105,0.672703817921209,0.165266106442577,0.598139106828131,0.965999172025323,0.847894736842105,0.872,0.128,0.152105263157895,0.868039215686274,0.616856934593409,0.694183082007314,0.543153804050356
"6","Abarema_langsdorffii","rf","spec_sens",0.637546668,0.56918,0.20164,0.165046666,0.516919998,0.292633334,0.611299815681745,0.901284210526316,1.80256842105263,1.50490657482629,0.731368421052632,0.687937245032816,0.165266106442577,0.643899137569883,0.963885249154222,0.827368421052632,0.904,0.096,0.172631578947368,0.891484593837535,0.65436814743941,0.719504533520725,0.567533885387056
"7","Abarema_langsdorffii","svme","spec_sens",0.392272758,0.236636612,0.005905614,0.167624136,0.13145645,0.043232404,0.723612027060318,0.917068421052632,1.83413684210526,1.48104990964075,0.760947368421053,0.725091900830379,0.165266106442577,0.638593073593074,0.971943929086786,0.868947368421053,0.892,0.108,0.131052631578947,0.888053221288515,0.661198573722293,0.727530500213427,0.580272844272844
"8","Abarema_langsdorffii","svmk","spec_sens",0.441533632,0.173707992,-0.033172542,0.16316123,0.113853116,0.000353202,0.681144427474196,0.865089473684211,1.73017894736842,1.24130615249117,0.720947368421053,0.693295117879503,0.165266106442577,0.596713181870603,0.96618170021849,0.848947368421053,0.872,0.128,0.151052631578947,0.868067226890756,0.615755064584753,0.693214647324336,0.540293756422789
